ObservationsStedNr;ObservationsStedNavn;Startdato;Startklok;UndersøgelseNr;TekniskAnvisninganvendt;MålingNr;Parameter;Enhed;Resultat;ResultatAttribut;Kontrol;Kvalitet;Kvalitetsnote
"21000665";"Knud Å, Bens. Møllevad Bro";"20021002";"1200";"1";"True";"1";"Temperatur";"grader C";"15,6";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20021112";"1200";"1";"True";"1";"Temperatur";"grader C";"6,7";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20021211";"1200";"1";"True";"1";"Temperatur";"grader C";"4,2";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20030116";"1200";"1";"True";"1";"Temperatur";"grader C";"2,4";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20030225";"1200";"1";"True";"1";"Temperatur";"grader C";"2,5";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20030327";"1200";"1";"True";"1";"Temperatur";"grader C";"6";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20030408";"1200";"1";"True";"1";"Temperatur";"grader C";"5";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20030506";"1200";"1";"True";"1";"Temperatur";"grader C";"12,6";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20030602";"1200";"1";"True";"1";"Temperatur";"grader C";"19,8";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20030702";"1200";"1";"True";"1";"Temperatur";"grader C";"19,2";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20030730";"1200";"1";"True";"1";"Temperatur";"grader C";"22,5";"=";"C, Faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20030820";"1200";"1";"True";"1";"Temperatur";"grader C";"20,1";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20030924";"1200";"1";"True";"1";"Temperatur";"grader C";"16,1";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20031029";"1200";"1";"True";"1";"Temperatur";"grader C";"8,6";"=";"D, FDC faglig kontrol";"Godkendt";""
