datetime,layer,tp
2018-01-01,epi,45.48270013979494
2018-02-01,epi,43.01296156406895
2018-03-01,epi,41.71415498679424
2018-04-01,epi,31.567747481396054
2018-05-01,epi,31.363679723886094
2018-06-01,epi,28.29539933258955
2018-07-01,epi,23.379290725454585
2018-08-01,epi,35.08726809983233
2018-09-01,epi,33.8468191041743
2018-10-01,epi,21.597888314621038
2018-11-01,epi,23.79309290535791
2018-12-01,epi,25.25663634310126
2019-01-01,epi,27.31431959611589
2019-02-01,epi,33.47130668111136
2019-03-01,epi,33.158688167418795
2019-04-01,epi,25.808809246897795
2019-05-01,epi,14.001414595751523
2019-06-01,epi,14.504663722741112
2019-07-01,epi,16.966625462246
2019-08-01,epi,26.319365817382597
2019-09-01,epi,32.66824988397331
2019-10-01,epi,23.98162907073813
2019-11-01,epi,47.77354836531737
2019-12-01,epi,42.29289778683117
2020-01-01,epi,40.52113715872912
2020-02-01,epi,48.38900109496155
2020-03-01,epi,48.00993808054315
2020-04-01,epi,36.67049513154327
2020-05-01,epi,12.967215879863772
2020-06-01,epi,13.784952074181417
2020-07-01,epi,15.402071554737892
2020-08-01,epi,16.715299495427704
2020-09-01,epi,23.09756886566989
2020-10-01,epi,22.19289305852623
2020-11-01,epi,23.677017755133928
2020-12-01,epi,28.8019306782969
2021-01-01,epi,43.4518171773775
2021-02-01,epi,35.31369182055123
2021-03-01,epi,39.80054686604484
2021-04-01,epi,39.00841361112326
2021-05-01,epi,17.460543333583146
2021-06-01,epi,21.118664720384608
2021-07-01,epi,24.06317463160672
2021-08-01,epi,13.585180679651549
2021-09-01,epi,14.482132882848124
2021-10-01,epi,17.300485091987177
2021-11-01,epi,25.096578650036875
2021-12-01,epi,35.23355121165677
2022-01-01,epi,37.17872029741703
2022-02-01,epi,39.73289364878081
2022-03-01,epi,40.086415196733356
2022-04-01,epi,29.594093803665135
2022-05-01,epi,22.172518147719224
2022-06-01,epi,19.417095878032494
2022-07-01,epi,19.69872592063918
2022-08-01,epi,22.416257363037843
2022-09-01,epi,18.314005934073226
2022-10-01,epi,23.312985025988162
2022-11-01,epi,36.17544784477898
2022-12-01,epi,55.95535594047981
2023-01-01,epi,44.35174223198078
2023-02-01,epi,44.89503919397999
2023-03-01,epi,33.778891249616095
2023-04-01,epi,31.970519169772373
2023-05-01,epi,21.12384257993056
2023-06-01,epi,18.60816877798842
2023-07-01,epi,17.389818468858145
2023-08-01,epi,17.311310087779184
2023-09-01,epi,21.82322060197724
2023-10-01,epi,45.56569600664439
2023-11-01,epi,45.211454151273145
2023-12-01,epi,51.178454915936086
2024-01-01,epi,51.28145714423947
2024-02-01,epi,56.52520324988792
2024-03-01,epi,55.383952693772734
2024-04-01,epi,51.41659645419588
2024-05-01,epi,33.82298213714641
2024-06-01,epi,32.647285054679216
2024-07-01,epi,27.776884481972555
2024-08-01,epi,25.88001106158056
2024-09-01,epi,27.775156674738806
2024-10-01,epi,19.967751409305723
2024-11-01,epi,30.086939690080804
2024-12-01,epi,42.60960206012626
